nu,mu_meV,E_meV
1.438045112781954904e-01,1.104279188944442680e+01,1.799501078199862825e+00
1.444611528822055124e-01,1.103273177072722611e+01,1.806748931832651062e+00
1.451177944862155345e-01,1.102269449005235380e+01,1.813990187071152560e+00
1.457744360902255565e-01,1.101267989258463587e+01,1.821224858860940543e+00
1.464310776942355785e-01,1.100268782523058420e+01,1.828452962046488883e+00
1.470877192982456005e-01,1.099271813661110286e+01,1.835674511372306528e+00
1.477443609022556503e-01,1.098277067703473264e+01,1.842889521484055271e+00
1.484010025062656724e-01,1.097284529847140888e+01,1.850098006929647543e+00
1.490576441102756944e-01,1.096294185452677894e+01,1.857299982160331098e+00
1.497142857142857164e-01,1.095306020041700634e+01,1.864495461531753717e+00
1.503709273182957384e-01,1.094320019294406165e+01,1.871684459305012593e+00
1.510275689223057605e-01,1.093336169047152850e+01,1.878866989647687946e+00
1.516842105263157825e-01,1.092354455290085724e+01,1.886043066634860210e+00
1.523408521303258045e-01,1.091374864164808400e+01,1.893212704250113010e+00
1.529974937343358266e-01,1.090397381962102230e+01,1.900375916386519703e+00
1.536541353383458763e-01,1.089421995119685249e+01,1.907532716847615495e+00
1.543107769423558984e-01,1.088448690220019621e+01,1.914683119348354889e+00
1.549674185463659204e-01,1.087477453988155673e+01,1.921827137516055828e+00
1.556240601503759424e-01,1.086508273289621052e+01,1.928964784891328721e+00
1.562807017543859645e-01,1.085541135128347534e+01,1.936096074928991717e+00
1.569373433583959865e-01,1.084576026644638347e+01,1.943221020998973092e+00
1.575939849624060085e-01,1.083612935113172071e+01,1.950339636387200537e+00
1.582506265664160305e-01,1.082651847941046874e+01,1.957451934296476237e+00
1.589072681704260526e-01,1.081692752665857427e+01,1.964557927847341068e+00
1.595639097744361024e-01,1.080735636953811074e+01,1.971657630078924806e+00
1.602205513784461244e-01,1.079780488597875809e+01,1.978751053949783678e+00
1.608771929824561464e-01,1.078827295515965012e+01,1.985838212338728814e+00
1.615338345864661684e-01,1.077876045749153988e+01,1.992919118045639371e+00
1.621904761904761905e-01,1.076926727459929012e+01,1.999993783792265667e+00
1.628471177944862125e-01,1.075979328930469059e+01,2.007062222223021219e+00
1.635037593984962345e-01,1.075033838560958444e+01,2.014124445905762339e+00
1.641604010025062566e-01,1.074090244867929123e+01,2.021180467332559072e+00
1.648170426065162786e-01,1.073148536482634086e+01,2.028230298920451702e+00
1.654736842105263284e-01,1.072208702149448811e+01,2.035273953012201265e+00
1.661303258145363504e-01,1.071270730724302211e+01,2.042311441877024958e+00
1.667869674185463724e-01,1.070334611173133688e+01,2.049342777711324892e+00
1.674436090225563945e-01,1.069400332570380563e+01,2.056367972639404851e+00
1.681002506265664165e-01,1.068467884097488430e+01,2.063387038714179056e+00
1.687568922305764385e-01,1.067537255041451161e+01,2.070399987917868057e+00
1.694135338345864605e-01,1.066608434793373661e+01,2.077406832162689287e+00
1.700701754385964826e-01,1.065681412847061793e+01,2.084407583291533861e+00
1.707268170426065046e-01,1.064756178797635222e+01,2.091402253078638029e+00
1.713834586466165544e-01,1.063832722340164771e+01,2.098390853230243547e+00
1.720401002506265764e-01,1.062911033268334293e+01,2.105373395385248703e+00
1.726967418546365984e-01,1.061991101473123500e+01,2.112349891115853584e+00
1.733533834586466205e-01,1.061072916941514954e+01,2.119320351928192459e+00
1.740100250626566425e-01,1.060156469755222197e+01,2.126284789262961272e+00
1.746666666666666645e-01,1.059241750089440082e+01,2.133243214496035378e+00
1.753233082706766865e-01,1.058328748211615888e+01,2.140195638939078826e+00
1.759799498746867086e-01,1.057417454480240337e+01,2.147142073840147436e+00
1.766365914786967306e-01,1.056507859343660982e+01,2.154082530384281213e+00
1.772932330827067804e-01,1.055599953338913366e+01,2.161017019694091434e+00
1.779498746867168024e-01,1.054693727090572253e+01,2.167945552830338407e+00
1.786065162907268244e-01,1.053789171309622574e+01,2.174868140792504345e+00
1.792631578947368465e-01,1.052886276792348497e+01,2.181784794519355586e+00
1.799197994987468685e-01,1.051985034419240250e+01,2.188695524889499033e+00
1.805764411027568905e-01,1.051085435153920500e+01,2.195600342721932385e+00
1.812330827067669126e-01,1.050187470042085991e+01,2.202499258776585922e+00
1.818897243107769346e-01,1.049291130210469092e+01,2.209392283754858521e+00
1.825463659147869566e-01,1.048396406865813191e+01,2.216279428300146570e+00
1.832030075187970064e-01,1.047503291293867989e+01,2.223160702998365323e+00
1.838596491228070284e-01,1.046611774858397759e+01,2.230036118378464050e+00
1.845162907268170505e-01,1.045721849000208081e+01,2.236905684912937176e+00
1.851729323308270725e-01,1.044833505236186610e+01,2.243769413018324776e+00
1.858295739348370945e-01,1.043946735158359296e+01,2.250627313055710399e+00
1.864862155388471165e-01,1.043061530432962769e+01,2.257479395331210892e+00
1.871428571428571386e-01,1.042177882799530053e+01,2.264325670096460463e+00
1.877994987468671606e-01,1.041295784069991370e+01,2.271166147549089853e+00
1.884561403508771826e-01,1.040415226127788628e+01,2.278000837833197956e+00
1.891127819548872324e-01,1.039536200927004117e+01,2.284829751039819001e+00
1.897694235588972544e-01,1.038658700491503595e+01,2.291652897207383521e+00
1.904260651629072765e-01,1.037782716914090919e+01,2.298470286322173983e+00
1.910827067669172985e-01,1.036908242355676890e+01,2.305281928318773765e+00
1.917393483709273205e-01,1.036035269044461060e+01,2.312087833080513466e+00
1.923959899749373426e-01,1.035163789275126156e+01,2.318888010439908776e+00
1.930526315789473646e-01,1.034293795408043692e+01,2.325682470179093908e+00
1.937092731829573866e-01,1.033425279868493263e+01,2.332471222030252367e+00
1.943659147869674086e-01,1.032558235145893555e+01,2.339254275676038830e+00
1.950225563909774307e-01,1.031692653793043135e+01,2.346031640749998814e+00
1.956791979949874805e-01,1.030828528425375623e+01,2.352803326836981679e+00
